id	species	gene_names	gene_synonyms	description	term_ids	sources
10	ath	At5g41040|RWP1		Abnormal aromatic suberin biosynthesis.	GO:0009058|CHEBI:60973|PATO:0001236|PATO:0000460	Plant PhenomeNET
11	ath	At1g31800|CYP97A3|AT1G31800		Abnormal carotenoid levels.  18% reduction in lutein and accumulates &#945.-cryptoxanthin and &#945.-carotene. The latter was shown to be almost exclusively localized in photosystems. Decrease in &#946.-carotene level. Reduction in total &beta.,&beta.-carotenoids and increase in total &beta.,&epsilon.-carotenoids. Accumulates &#945.-carotene and zeinoxanthin at levels nearly identical to lut5-1 and lut1-4 single mutants, respectively. Same as lut5-1 but weaker allele.	PO:0000003|PATO:0000033|PATO:0000460|CHEBI:23044	Plant PhenomeNET|TAIR
12	ath	At1g69180|CRC|AT1G69180		Abnormal carpel development.  strong allele. lacks nectaries. gynoecium is wider and shorter throughout development, it fails to fuse at the apex,  ovule reduced in number, carpels are reduced in height, style tissue reduced and split medially. slight loss in flower meristem determinacy (occasionally consists of three carpels). siliques are broader laterally and about half the length of wt. weak allele. lacks nectaries. gynoecium is wider and shorter throughout development, it sometimes fails to fuse at the apex, ovule reduced in number. nearly normal style growth. slight loss in flower meristem determinacy (occasionally consists of three carpels). siliques are broader laterally and closer to the wt length. Development of ectopic ovules with random distribution: 1 to 10 per gynoecium. Grow more slowly than wild type, flower 10-14 days later, have reduced organ sizes, exhibit slight epinasty of their leaves and flowers, and display reduced apical dominance. In double mutant carpels, two rows of primordia arise, extending along the length of the ovary, most of which subsequently develop into ovules (mostly morphologically abnormal). Ectopic adaxial tissues are restricted to the medial domain of the carpels, normally occupied by the abaxial replum.  Formation of external ovule-bearing placentae. Short siliques.  Indeterminate floral mersitem - carpels enclose extra floral organs. .	GO:0048440|PATO:0001236|PATO:0000460	Plant PhenomeNET|TAIR
13	ath	At4g36930|SPT|AT4G36930		Abnormal carpel development.  gynoecium flattened medially at apex, sometimes unfused at apex, silique shorter, flattened laterally at apex, style and stigma reduced, transmitting tract absent, reduced seed set. Ovules defective without integuments (female sterile). floral organs narrow and reduced in number. vegetative growth less vigorous. Also segregating for the spt-2 allele: gynoecium flattened medially at apex, sometimes unfused at apex, silique shorter, flattened laterally at apex, style and stigma reduced, transmitting tract absent, reduced seed set, stronger allele. Gynoecium flattened medially at apex, sometimes unfused at apex, silique shorter, flattened laterally at apex, style and stigma reduced, transmitting tract reduced, reduced seed set, weaker allele. also homozygous for a mutant allele of eceriferum2, bright green epidermis. Gynoecium flattened medially at apex, sometimes unfused at apex, silique shorter, flattened laterally at apex, style and stigma reduced, transmitting tract absent, reduced seed set. The hec1,2,3 spt quadruple mutant had an enhanced phenotype compared to the hec1,2,3 triple or spt single. Carpels were completely unfused at the apical part, up to one third of the entire fruit indicative of a synergistic interaction. Reduced seed dormancy. Germination occurs in the light and in the absence of cold treatment.	GO:0048440|PATO:0001236|PATO:0000460	Plant PhenomeNET|TAIR
14	ath	At5g60920|COB|AT5G60920		Abnormal cell expansion orientation. Reduced crystalline cellulose in root. Abnormal cell expansion orientation. Reduced crystalline cellulose in root.  Callus-induced roots from the mutant displayed the mutant phenotype when they grew under restrictive conditions. All the mutants responded to a gravitropic stimulus in a manner similar to wild type although the change of the direction of growth was slower than wild type. When grown on media containing 0.5% sucrose, the mutant had reduced root length but no apparent radial cell expansion. semidominant mutation. variable, increased root diameter and short roots due to increased width and reduced length of cells. cell volume is similar to wild type but more variable. reduced root cell division rate. the orientation of root expansion is changed, which may not be dependent on any change in microtubule orientation. a conditional root expansion (CORE) mutant with high sucrose medium required to see phenotype (i.e., conditions of maximal growth rate required). no effect on phenotype of aerial part of plant. Dark grown hypocotyls have reduced length compared to wild type. Root cells appear swollen and have abnormal radial expansion. Epidermal cells bulge. Cotyledon and hypocotyls are smaller and thicker than wild type. Cellulose microfibrils are randomly oriented. mon1/cob-6 showed restored seedling root growth on 1/2 MS plates compared with cob-6 single mutant.	GO:0016049|PATO:0001236|PATO:0000460|PO:0025025|PATO:0001163|CHEBI:62968	Plant PhenomeNET|TAIR
15	ath	At2g35100|ARAD1|AT2G35100		Abnormal cell wall composition. Low arabinose levels. Abnormal cell wall composition. Low arabinose levels.  Cell wall composition was altered in mutant plants. Analysis of cell wall polysaccharides isolated from mutant leaves and stems showed that arabinose content was reduced to about 75% and 46%, respectively, of wild-type levels. Immunohistochemical analysis indicated a specific decrease in arabinan with no change in other pectic domains or in glycoproteins. Radial cell expansion of the stem tissue was increased in mutant plants, but the cellular structure of the stem was also not altered. No other visible phenotypic changes were detected in the mutant plants.	GO:0005618|PATO:0000025|PATO:0000460|PO:0000003|PATO:0001163|CHEBI:22599	Plant PhenomeNET|TAIR
16	ath	At1g42550|PMI1|AT1G42550		Abnormal chloroplast movement under a variety of light fluence rates.  mutant plants exhibit severely attenuated chloroplast movements under all tested fluence rates of light. Leaf cross sections revealed that regardless of the light condition, chloroplasts are more evenly distributed in leaf mesophyll cells in mutants than in the wild type. severely attenuated chloroplast movement, similar phenotype to pmi1-2. Defective in chloroplast relocation.	GO:0009507|PATO:0001906|PATO:0000460|EO:0007196	Plant PhenomeNET|TAIR
17	ath	At1g75100|JAC1|AT1G75100		Abnormal chloroplast movement in the dark. Abnormal chloroplast movement under weak blue light. Abnormal chloroplast movement under weak blue light and in the dark.  defective in chloroplast accumulation response (but not in the avoidance response). defective in the cloroplast accumulation response (but not in the avoidance response).	GO:0009902|PATO:0001236|PATO:0000460|EO:0007270|GO:0009507|PATO:0001906|EO:0007218	Plant PhenomeNET|TAIR
18	ath	At3g25690|CHUP1		Abnormal chloroplast positioning.	GO:0019750|PATO:0001529|PATO:0000460	Plant PhenomeNET
19	ath	At3g46640|PCL1|AT3G46640		Abnormal circadian rhythms.  Long hypocotyl.  Plants flower early in short- and long-day conditions.  Arrhythmic CAB2:LUC (reporter gene) expression and leaf movement in constant light, monochromatic red or blue light.  Arrhythmic CCR2::LUC (reporter gene) expression in constant dark and constant light. Long hypocotyl.  Plants flower early in short- and long-day conditions.  Arrhythmic CAB2:LUC (reporter gene) expression and leaf movement in constant light, monochromatic red or blue light. Long hypocotyl seedlings.   Arrhythmic CAB2::LUC (reporter gene) expression under constant light.	GO:0007623|PATO:0002323|PATO:0000460	Plant PhenomeNET|TAIR
20	ath	At5g57360|ZTL|AT5G57360		Abnormal circadian rhythms.  Altered circadian clock controlled processes.	GO:0007623|PATO:0002323|PATO:0000460	Plant PhenomeNET|TAIR
21	ath	At3g20810|JMJ30|AT3G20810		Abnormal circadian rhythms in leaf movements.  Shortened period length of circadian rhythms under constant light conditions.	GO:0007623|PO:0009025|PATO:0001236|PATO:0000460	Plant PhenomeNET|TAIR
22	ath	At1g78570|RHM1|AT1G78570		Abnormal cotyledon growth. Deformed trichomes. Slightly shorter root hairs. Slightly shorter roots. Abnormal cotyledon growth. Slightly shorter roots and root hairs. Deformed trichomes.  Slightly deformed cotyledons and pavement cells. Short roots with short root hairs. Aberrations in cell shape, which result in oversized cotyledon pavement cells that lack typical lobes. aberrant cotyledon development, with an uneven cotyledon surface and hyponastic growth. compared with the wild type, the size of adaxial pavement cells in the cotyledons is frequently increased  and the typical jigsaw puzzle-like cell shape of pavement cells is absent (cell borders are straight and the characteristic lobes are absent). this phenotype is restricted to the adaxial side of the cotyledon. Stomatal distribution is  affected in cotyledons. plants have fewer stomata than wild-type plants, and the stomata are frequently larger than those of wild-type plants. Trichomes of the first rosette leaves are strongly deformed. A detailed analysis of the rol1-2 mutants show aberrant cotyledon development with an uneven  surface and hyponastic growth, aberrant pavement cell and stomatal morphology in cotyledons, and defective trichome formation. Further the typical jigsaw puzzle–like cell shape of pavement cells was absent in rol1-2 mutants. No significant differences in the amounts of the major sugars of cell wall material, including Rha, were identified between the WT and rol1-2.  However, rol1-2 and lrx1 rol1-2 showed an approx 30% reduction in the RG II-specific monosaccharides 2-O-methyl-D-xylose and 2-O-methyl-L-fucose.  These methylated sugars are diagnostic components of the two large Rha-containing side chains of RG II, and their reduced abundance may reflect a defect in the synthesis of RG II.	GO:0048825|PATO:0001236|PATO:0000460|PO:0000282|PATO:0001617|GO:0035618|PATO:0000574|PO:0025025	Plant PhenomeNET|TAIR
23	ath	At1g15690|AVP1|AT1G15690		Abnormal cotyledon morphology. Collapsed root tip. Complete loss of flower formation. Disorganized vascular patterning. High penetrance of complete loss of flowering. Small rosette. Sterile. Thick leaves. Thick roots. Uneven leaf margins. Abnormal cotyledon morphology. Small rosette. Thick leaves with uneven margins. Thick roots. Collapsed root tip. High penetrance of complete loss of flowering. Complete loss of flower formation. Sterile. Disorganized vascular patterning.  Shoot defects include: smaller leaves, decreased cell number in leaves, mesophyll and vascular patterning disorganized, cup-shaped cotyledons.Root defects: small cells at apex, columella cell layers reduced to 2, deformed root cap.	PO:0020030|PATO:0000051|PATO:0000460|PO:0000025|PATO:0001478|GO:0009908|PATO:0002052|PO:0000034|PATO:0000937|GO:0010228|PO:0025022|PATO:0000587|PO:0009046|PATO:0000274|PATO:0000462|PO:0009025|PATO:0000591|PO:0025025|PO:0020128|PATO:0001810	Plant PhenomeNET|TAIR
24	ath	At3g63300|FKD1|AT3G63300		Abnormal cotyledon vascular patterning. Abnormal cotyledon vascular patterning. No other phenotypes detected.  Cotyledons and leaves have open venation due to lack of distal junctions between secondary, tertiary and quaternary veins. Mutant leaves also show reduced expression of DR5::GUS, an auxin-responsive reporter  gene.	PO:0000035|PATO:0000060|PATO:0000460	Plant PhenomeNET|TAIR
25	ath	At5g55540|TRN1|AT5G55540		Abnormal division of lateral root cap. Abnormal positioning of lateral root cap. Abnormal division and positioning of lateral root cap.  dwarfed plant with twisted organs. altered lateral root cap identity and incorrect root epidermal patterning. defective lamina symmetry, lateral growth and venation patterning. imbalance between cell proliferation and cell differentiation and altered auxin distribution in the leaf. . Primary roots of mutant plants were shorter than in the wild type, hairy and twisted along longitudinal axis. Organ twisting was noticeable in leaf and stem too, but not in cotyledons and hypocotyl. Inflorescence was twisted too, containing twisted and abnormally shaped flowers with reduced fertility. Initial divisions in the epidermal/lateral root cap initial are defective in mutant roots. Furthermore, lateral root cap cells develop in the epidermal position in trn1 roots. Apical dominance severely reduced. Severely dwarfed, with twisted and malformed organs, and sterile. However, cotyledon shape and symmetry were unchanged. The leaf lamina area was slightly, but significantly, reduced in mutatnt plants. The length of the first and second leaves was slightly reduced too. The leaf venation network had a severely reduced complexity: incomplete loops, no tertiary or quaternary veins, and vascular islands. Rosette leaf size and shape were severely affected. Mutant leaves had a rumpled surface with asymmetric laminas because of non-developed blade parts. Similar to other trn1 mutants. Severely dwarfed, with twisted and malformed organs, sterile. No obvious phenotype different from those of trn1-2 or trn2-4 was observed in double mutant.	GO:0051301|PO:0020131|PATO:0001236|PATO:0000460|PATO:0000140	Plant PhenomeNET|TAIR
26	ath	At3g49250|DMS3|AT3G49250		Abnormal DNA methylation.  No visible phenotype. WT morphological phenotype. Decreased DNA methylation of target genes. All pollen grains of heterozygote plant are viable. Mutation does not affect male gametophyte viability. embryo lethal.	GO:0006306|PATO:0001236|PATO:0000460	Plant PhenomeNET|TAIR
27	osa	Os07g0164000|WAF1		abnormal embryo development. incomplete penetrance of seedling lethality. abnormal leaf morphology. short roots. few lateral roots. short panicle. elongated bracts. abnormal spikelet morphology. reduced floral organ number. sterile. Abnormal embryo development. Incomplete penetrance of seedling lethality. Abnormal leaf morphology. Short roots. Few lateral roots. Short panicle. Elongated bracts. Abnormal spikelet morphology. Reduced floral organ number. Sterile.	GO:0009790|PATO:0001236|PATO:0000460|PO:0007631|PO:0000003|PATO:0001768|PO:0007112|PO:0009025|PATO:0000051|PO:0028002|PO:0025025|PATO:0000574|PATO:0002001|PO:0020121|PO:0009049|PO:0009055|PATO:0001154|PO:0009051|PO:0025395|PATO:0000956	Plant PhenomeNET
28	ath	At2g29980|FAD3|AT2G29980		Abnormal fatty acid composition.  reduction in desaturation of storage and membrane lipids. deficient in lineolate desaturase, 18:2. deficient in endoplasmic reticulum lipids. no visible phenotypic effects.	PO:0000003|PATO:0000025|PATO:0000460|CHEBI:35366	Plant PhenomeNET|TAIR
29	ath	At5g23190|CYP86B1		Abnormal fatty acid composition.	PO:0000003|PATO:0000025|PATO:0000460|CHEBI:35366	Plant PhenomeNET
30	ath	At4g27030|FAD4|AT4G27030		Abnormal fatty acid composition. Elevated palmitic acid levels. Abnormal fatty acid composition. Elevated palmitic acid levels.  altered leaf fatty acid composition, no other phenotypic effect. Leaves have low 16:1delta3trans fatty acids in phosphotidylglycerol.	PO:0000003|PATO:0000025|PATO:0000460|CHEBI:35366|PATO:0001162|CHEBI:15756	Plant PhenomeNET|TAIR
31	ath	At1g10310|AT1G10310		Abnormal fatty acid levels.  Mutants have reduced seed 18:1 delta nine fatty acids. An analogous change in  fatty acids is seen in the leaf, but it is more subtle than in seed. .	PO:0000003|PATO:0000033|PATO:0000460|CHEBI:35366	Plant PhenomeNET|TAIR
32	ath	At4g37750|ANT|AT4G37750		Abnormal flower development. Abnormal ovule development. Abnormal flower and ovule development.  Strong allele. ovules lack integuments, embryo sac does not develop. ovule primordia form and develop normally through very early stages, but in later stages in place of the two integument primordia, only a slightly elevated ridge of cells (integumentary ridge) forms at the chalaza of the ovules  and demarcates the nucellus and the funiculus but undergoes no further expansion, development of other parts of the ovule does not immediately arrest, minimal chalazal bend. altered flower development: narrow petals with somewhat irregular margins, reduced stamen number. complete female sterility. expressed  specifically in the chalaza and in floral organ  primordia. Slightly weak allele. ovules lack integuments, embryo sac  does not develop. ovule primordia form and develop normally through early stages, but in later stages in place of the two integument primordia, an integumentary ridge of cells undergoes limited asymmetrical expansion  at the chalaza and the ovules take on more of the characteristic S shape of wt ovules, intermediate chalazal bend. altered flower development: narrow petals with somewhat irregular margins, reduced stamen number. complete female sterility. Weak allele. ovules lack integuments, embryo sac does not develop. ovule primordia form and develop normally through early stages, but in later stages, in place of the two integument primordia, an integumentary ridge of cells  expands further at the chalaza and, in some cases, partially surrounds the nucellus and superficially resembles an outer integument, normal chalazal bend. altered flower development: narrow petals with somewhat irregular margins, reduced stamen number. complete female sterility. expressed  specifically in the chalaza and in floral organ primordia. Ovules defective without integuments (female sterile). floral organs narrow and reduced in number. vegetative growth less vigorous. Also segregating for the spt-2 allele: gynoecium flattened medially at apex, sometimes unfused at apex, silique shorter, flattened laterally at apex, style and stigma reduced, transmitting tract absent, reduced seed set, stronger allele. Double mutants had an increased number of sepals compared with either single mutant. In early arising flowers as many as eight sepals were present. In addition, fusion between sepals was observed in ant-4 rbe-3 mutants. Sepals in the double mutant were often fused along their entire length rather than just at their base as usually seen in rbe-3. . Mutant flowers also show a reduction in the overall number of second-whorl organs. In addition, fewer filaments and staminoid organs were present in the double mutant compared with rbe-3 single mutants. Reduced stamen number in the third whorl of ant-4 mutants was partially rescued by rbe-3.	GO:0009908|PATO:0001236|PATO:0000460|GO:0048481	Plant PhenomeNET|TAIR
33	ath	At2g28610|PRS|AT2G28610		Abnormal flower morphology.  Altered floral development.	PO:0009046|PATO:0000051|PATO:0000460	Plant PhenomeNET|TAIR
34	ath	At2g33860|ETT|AT2G33860		Abnormal flower morphology.  Unusual gynoecium and floral patterning defects,  including an increased number of sepals and carpels. very strong allele.homozygotes have flowers with 1-2 extra sepals and petals, 1 less medial stamen and a gynoecium with altered shape and anatomy. locule number on medial stamen is often reduced. gynoecium has a reduced ovary which is covered abaxially by style transmitting tract apically, and style epidermal tissue basally. it appears as if the top of the gynoecium has been pulled down over the surface of the ovary, and the bottom of the gynoecium has been pulled up, creating an elongated internode-like basal stalk. ovule density is not affected but placentae are shortened. ovules appear sterile due to failure of integument growth around egg sac which protrudes out of the ovule tip and appears to lack the full compliment of 8 nuclei. pollen is fertile. weak allele. homozygotes have flowers with 1-2 extra sepals and petals, 1 less medial stamen and a gynoecium with altered shape and anatomy. locule number on medial stamen is often reduced. gynoecium has a slightly reduced ovary, with a small basal internode, and the basalization of the adaxial style tissue only on the medial sides of the gynoecium. almost fully female fertile. intermediate allele. homozygote has flowers with 1-2 extra sepals and petals, 1 less medial stamen and a gynoecium with altered shape and anatomy. locule number on medial stamen is often reduced. gynoecium has a reduced ovary which is covered abaxially by style transmitting tract apically, and style epidermal tissue basally. it appears as if the top of the gynoecium has been pulled down over the surface of the ovary, and the bottom of the gynoecium has been pulled up, creating an elongated internode-like basal stalk. ovule density is not affected but placentae are shortened. ovules appear sterile due to failure of integument growth around egg sac which protrudes out of the ovule tip and appears to lack the full compliment of 8 nuclei. pollen is fertile. Short internodes, abnormal phyllotaxy, misshapen floral organs, variable floral organ numbers, gynoecium lacks valve tissue, , abnormally positioned ovules. Resembles kanadi homozygous mutants. The gynoecia of double mutants showed severe reduction of the ovary and morphological abnormalities in the apical region that were similar  to ett strong allele mutant phenotypes. Occasionally, inflorescences of the double mutant failed to produce any normal flower buds, resulting in pin-like structures that were not found in either stv1 or ett single mutants. Pin-like inflorescences are formed in mp, pid, and pin1 mutants and in wild-type plants treated with polar auxin transport inhibitors. The gynoecial defects of ett-1 mutants, such as reduction in ovary size and increased gynophore elongation, were enhanced by the sty1-1 mutation. A number of double mutant gynoecia were nearly completely valveless, and in those, ovules grew on top of a placental surface. In addition, the apical ends of sty1-1 ett-1 gynoecia were less fused than those of ett-1 and sty1-1, and ovules frequently protruded at the apex. The amount of stylar and stigmatic tissues was reduced compared with ett-1, and the double mutant was sterile. As in ett-1 gynoecia, ectopic tissue of transmitting tract identity was generally present.	PO:0009046|PATO:0000051|PATO:0000460	Plant PhenomeNET|TAIR
35	ath	At5g20930|TSL|AT5G20930		Abnormal flower morphology.  flowering delayed 1 week compared to wild type. slightly increased number of rosette leaves. deeply serrated leaves. secondary axes arise from axils of cauline leaves on main inflorescence - cauline leaves are rolled around the new axis. abnormal flowers with fewer, variable numbers of organs formed in all whorls (sepals, petals, anthers and gynoecium). no homeotic conversions among organ types occur. some floral organs are misshapen, reduced in size or filamentous. sterile at 22C, slightly fertile at 16C. flowering delayed 1 week compared to wild type. slightly increased number of rosette leaves. deeply serrated leaves. secondary axes arise from axils of cauline leaves on main inflorescence - cauline leaves are rolled around the new axis. abnormal flowers with fewer, variable organs formed in all whorls (sepals, petals, anthers and gynoecium). no homeotic conversions among organ types occur. some floral organs are misshapen, reduced in size or filamentous. sterile at 22C. slightly fertile at 16C.	PO:0009046|PATO:0000051|PATO:0000460	Plant PhenomeNET|TAIR
36	ath	At5g35770|SAP|AT5G35770		Abnormal flower morphology.  Small plants with small organs (leaves, flowers and siliques). Has similar cell size to wild type. Most homozygous embryos abort. Some can be recovered by germination on MS media. Those seedlings have short roots, never develop true leaves and die shortly after germination. Altered floral development.	PO:0009046|PATO:0000051|PATO:0000460	Plant PhenomeNET|TAIR
