species,group_ids,gene_identifiers,pathway_id,pathway_id_for_species,pathway_name,pathway_class,gene_names,ncbi_id,uniprot_id,ko_number,ec_number
ath,ko00590,GGT4|gamma-glutamyl transpeptidase 4  [EC:2.3.2.2 3.4.19.13 3.4.19.14]|ncbi=AT4G29210|AT4G29210,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,GGT4|gamma-glutamyl transpeptidase 4  [EC:2.3.2.2 3.4.19.13 3.4.19.14],AT4G29210,,KO:K18592,
ath,ko00590,GPX5|glutathione peroxidase 5|ncbi=AT3G63080|AT3G63080,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,GPX5|glutathione peroxidase 5,AT3G63080,,KO:K00432,EC:1.11.1.9
ath,ko00590,GPX4|glutathione peroxidase 4|ncbi=AT2G48150|AT2G48150,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,GPX4|glutathione peroxidase 4,AT2G48150,,KO:K00432,EC:1.11.1.9
ath,ko00590,GPX2|glutathione peroxidase 2|ncbi=AT2G31570|AT2G31570,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,GPX2|glutathione peroxidase 2,AT2G31570,,KO:K00432,EC:1.11.1.9
ath,ko00590,GPX8|glutathione peroxidase 8|ncbi=AT1G63460|AT1G63460,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,GPX8|glutathione peroxidase 8,AT1G63460,,KO:K00432,EC:1.11.1.9
ath,ko00590,GPX6|glutathione peroxidase 6|ncbi=AT4G11600|AT4G11600,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,GPX6|glutathione peroxidase 6,AT4G11600,,KO:K00432,EC:1.11.1.9
ath,ko00590,GPX1|glutathione peroxidase 1|ncbi=AT2G25080|AT2G25080,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,GPX1|glutathione peroxidase 1,AT2G25080,,KO:K00432,EC:1.11.1.9
ath,ko00590,GPX7|glutathione peroxidase 7|ncbi=AT4G31870|AT4G31870,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,GPX7|glutathione peroxidase 7,AT4G31870,,KO:K00432,EC:1.11.1.9
ath,ko00590,GPX3|glutathione peroxidase 3|ncbi=AT2G43350|AT2G43350,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,GPX3|glutathione peroxidase 3,AT2G43350,,KO:K00432,EC:1.11.1.9
ath,ko00220,OTC|ornithine carbamoyltransferase|ncbi=AT1G75330|AT1G75330,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,OTC|ornithine carbamoyltransferase,AT1G75330,,KO:K00611,EC:2.1.3.3
ath,ko00220,arginosuccinate synthase family|ncbi=AT4G24830|AT4G24830,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,arginosuccinate synthase family,AT4G24830,,KO:K01940,EC:6.3.4.5
ath,ko00220,L-Aspartase-like family protein|ncbi=AT5G10920|AT5G10920,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,L-Aspartase-like family protein,AT5G10920,,KO:K01755,EC:4.3.2.1
ath,ko00220,ARGAH1|arginase|ncbi=AT4G08900|AT4G08900,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,ARGAH1|arginase,AT4G08900,,KO:K01476,EC:3.5.3.1
ath,ko00220,ARGAH2|Arginase/deacetylase superfamily protein|ncbi=AT4G08870|AT4G08870,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,ARGAH2|Arginase/deacetylase superfamily protein,AT4G08870,,KO:K01476,EC:3.5.3.1
ath,ko00220,URE|urease|ncbi=AT1G67550|AT1G67550,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,URE|urease,AT1G67550,,KO:K01427,EC:3.5.1.5
ath,ko00220,NOA1|P-loop containing nucleoside triphosphate hydrolases superfamily protein|ncbi=AT3G47450|AT3G47450,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,NOA1|P-loop containing nucleoside triphosphate hydrolases superfamily protein,AT3G47450,,KO:K13427,EC:1.14.13.39
ath,ko00220,GSR_1|hypothetical protein|ncbi=AT5G37600|AT5G37600,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,GSR_1|hypothetical protein,AT5G37600,,KO:K01915,EC:6.3.1.2
ath,ko00220,GLN1.3|glutamine synthetase 1.3|ncbi=AT3G17820|AT3G17820,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,GLN1.3|glutamine synthetase 1.3,AT3G17820,,KO:K01915,EC:6.3.1.2
ath,ko00220,GLN1|5|glutamine synthetase 1|5|ncbi=AT1G48470|AT1G48470,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,GLN1|5|glutamine synthetase 1|5,AT1G48470,,KO:K01915,EC:6.3.1.2
ath,ko00220,GS2|glutamine synthetase 2|ncbi=AT5G35630|AT5G35630,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,GS2|glutamine synthetase 2,AT5G35630,,KO:K01915,EC:6.3.1.2
ath,ko00220,GLN1|4|glutamine synthetase 1|4|ncbi=AT5G16570|AT5G16570,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,GLN1|4|glutamine synthetase 1|4,AT5G16570,,KO:K01915,EC:6.3.1.2
ath,ko00220,GSR2|hypothetical protein|ncbi=AT1G66200|AT1G66200,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,GSR2|hypothetical protein,AT1G66200,,KO:K01915,EC:6.3.1.2
ath,ko00220,GDH2|glutamate dehydrogenase 2|ncbi=AT5G07440|AT5G07440,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,GDH2|glutamate dehydrogenase 2,AT5G07440,,KO:K00261,EC:1.4.1.3
ath,ko00220,GDH1|glutamate dehydrogenase 1|ncbi=AT5G18170|AT5G18170,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,GDH1|glutamate dehydrogenase 1,AT5G18170,,KO:K00261,EC:1.4.1.3
ath,ko00220,GDH3|glutamate dehydrogenase 3|ncbi=AT3G03910|AT3G03910,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,GDH3|glutamate dehydrogenase 3,AT3G03910,,KO:K00261,EC:1.4.1.3
ath,ko00220,Amino acid dehydrogenase family protein|ncbi=AT1G51720|AT1G51720,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,Amino acid dehydrogenase family protein,AT1G51720,,KO:K00262,EC:1.4.1.4
ath,ko00220,ASP2|aspartate aminotransferase 2|ncbi=AT5G19550|AT5G19550,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,ASP2|aspartate aminotransferase 2,AT5G19550,,KO:K14454,EC:2.6.1.1
ath,ko00220,ASP3|aspartate aminotransferase 3|ncbi=AT5G11520|AT5G11520,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,ASP3|aspartate aminotransferase 3,AT5G11520,,KO:K14454,EC:2.6.1.1
ath,ko00220,ASP4|aspartate aminotransferase 4|ncbi=AT1G62800|AT1G62800,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,ASP4|aspartate aminotransferase 4,AT1G62800,,KO:K14454,EC:2.6.1.1
ath,ko00220,ASP1|aspartate aminotransferase 1|ncbi=AT2G30970|AT2G30970,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,ASP1|aspartate aminotransferase 1,AT2G30970,,KO:K14455,EC:2.6.1.1
ath,ko00220,ASP5|aspartate aminotransferase 5|ncbi=AT4G31990|AT4G31990,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,ASP5|aspartate aminotransferase 5,AT4G31990,,KO:K00811,EC:2.6.1.1
ath,ko00220,AlaAT1|alanine aminotransferas|ncbi=AT1G17290|AT1G17290,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,AlaAT1|alanine aminotransferas,AT1G17290,,KO:K00814,EC:2.6.1.2
ath,ko00220,ALAAT2|alanine aminotransferase 2|ncbi=AT1G72330|AT1G72330,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,ALAAT2|alanine aminotransferase 2,AT1G72330,,KO:K00814,EC:2.6.1.2
ath,ko00220,AOAT2|alanine-2-oxoglutarate aminotransferase 2  [EC:2.6.1.4 2.6.1.2 2.6.1.44]|ncbi=AT1G70580|AT1G70580,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,AOAT2|alanine-2-oxoglutarate aminotransferase 2  [EC:2.6.1.4 2.6.1.2 2.6.1.44],AT1G70580,,KO:K14272,
ath,ko00220,GGT1|glutamate:glyoxylate aminotransferase  [EC:2.6.1.4 2.6.1.2 2.6.1.44]|ncbi=AT1G23310|AT1G23310,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,GGT1|glutamate:glyoxylate aminotransferase  [EC:2.6.1.4 2.6.1.2 2.6.1.44],AT1G23310,,KO:K14272,
ath,ko00220,NAGS1|N-acetyl-l-glutamate synthase 1|ncbi=AT2G22910|AT2G22910,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,NAGS1|N-acetyl-l-glutamate synthase 1,AT2G22910,,KO:K14682,EC:2.3.1.1
ath,ko00220,NAGS2|N-acetyl-l-glutamate synthase 2|ncbi=AT4G37670|AT4G37670,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,NAGS2|N-acetyl-l-glutamate synthase 2,AT4G37670,,KO:K14682,EC:2.3.1.1
ath,ko00220,arginine biosynthesis protein ArgJ family  [EC:2.3.1.35 2.3.1.1]|ncbi=AT2G37500|AT2G37500,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,arginine biosynthesis protein ArgJ family  [EC:2.3.1.35 2.3.1.1],AT2G37500,,KO:K00620,
ath,ko00220,NAGK|N-acetyl-l-glutamate kinase|ncbi=AT3G57560|AT3G57560,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,NAGK|N-acetyl-l-glutamate kinase,AT3G57560,,KO:K00930,EC:2.7.2.8
ath,ko00220,Putative N-acetyl-gamma-glutamyl-phosphate reductase|ncbi=AT2G19940|AT2G19940,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,Putative N-acetyl-gamma-glutamyl-phosphate reductase,AT2G19940,,KO:K00145,EC:1.2.1.38
ath,ko00220,WIN1|HOPW1-1-interacting 1|ncbi=AT1G80600|AT1G80600,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,WIN1|HOPW1-1-interacting 1,AT1G80600,,KO:K00818,EC:2.6.1.11
ath,ko00220,AQI|Peptidase M20/M25/M40 family protein|ncbi=AT4G38220|AT4G38220,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,AQI|Peptidase M20/M25/M40 family protein,AT4G38220,,KO:K14677,EC:3.5.1.14
ath,ko00220,Peptidase M20/M25/M40 family protein|ncbi=AT1G44820|AT1G44820,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,Peptidase M20/M25/M40 family protein,AT1G44820,,KO:K14677,EC:3.5.1.14
ath,ko00220,Peptidase M20/M25/M40 family protein|ncbi=AT1G44180|AT1G44180,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,Peptidase M20/M25/M40 family protein,AT1G44180,,KO:K14677,EC:3.5.1.14
ath,ko00220,Peptidase M20/M25/M40 family protein|ncbi=AT4G17830|AT4G17830,ko00220,ath00220,Arginine biosynthesis - Arabidopsis thaliana (thale cress),Metabolism; Amino acid metabolism,Peptidase M20/M25/M40 family protein,AT4G17830,,KO:K01438,EC:3.5.1.16
ath,ko00591,PLA2-ALPHA|Phospholipase A2 family protein|ncbi=AT2G06925|AT2G06925,ko00591,ath00591,Linoleic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,PLA2-ALPHA|Phospholipase A2 family protein,AT2G06925,,KO:K01047,EC:3.1.1.4
ath,ko00591,SDP1-LIKE|sugar-dependent 1-like protein  [EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51]|ncbi=AT3G57140|AT3G57140,ko00591,ath00591,Linoleic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,SDP1-LIKE|sugar-dependent 1-like protein  [EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51],AT3G57140,,KO:K14674,
ath,ko00591,SDP1|Patatin-like phospholipase family protein  [EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51]|ncbi=AT5G04040|AT5G04040,ko00591,ath00591,Linoleic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,SDP1|Patatin-like phospholipase family protein  [EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51],AT5G04040,,KO:K14674,
ath,ko00591,LOX1|lipoxygenase 1|ncbi=AT1G55020|AT1G55020,ko00591,ath00591,Linoleic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,LOX1|lipoxygenase 1,AT1G55020,,KO:K15718,EC:1.13.11.58
ath,ko00591,LOX5|PLAT/LH2 domain-containing lipoxygenase family protein|ncbi=AT3G22400|AT3G22400,ko00591,ath00591,Linoleic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,LOX5|PLAT/LH2 domain-containing lipoxygenase family protein,AT3G22400,,KO:K15718,EC:1.13.11.58
ath,ko00591,LOX2|lipoxygenase 2|ncbi=AT3G45140|AT3G45140,ko00591,ath00591,Linoleic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,LOX2|lipoxygenase 2,AT3G45140,,KO:K00454,EC:1.13.11.12
ath,ko00591,LOX3|lipoxygenase 3|ncbi=AT1G17420|AT1G17420,ko00591,ath00591,Linoleic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,LOX3|lipoxygenase 3,AT1G17420,,KO:K00454,EC:1.13.11.12
ath,ko00591,LOX6|PLAT/LH2 domain-containing lipoxygenase family protein|ncbi=AT1G67560|AT1G67560,ko00591,ath00591,Linoleic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,LOX6|PLAT/LH2 domain-containing lipoxygenase family protein,AT1G67560,,KO:K00454,EC:1.13.11.12
ath,ko00591,LOX4|PLAT/LH2 domain-containing lipoxygenase family protein|ncbi=AT1G72520|AT1G72520,ko00591,ath00591,Linoleic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,LOX4|PLAT/LH2 domain-containing lipoxygenase family protein,AT1G72520,,KO:K00454,EC:1.13.11.12
ath,ko00750,Pyridoxamine 5'-phosphate oxidase family protein|ncbi=AT2G46580|AT2G46580,ko00750,ath00750,Vitamin B6 metabolism - Arabidopsis thaliana (thale cress),Metabolism; Metabolism of cofactors and vitamins,Pyridoxamine 5'-phosphate oxidase family protein,AT2G46580,,KO:K00275,EC:1.4.3.5
ath,ko00750,PPOX|pyridoxin (pyrodoxamine) 5'-phosphate oxidase  [EC:1.4.3.5 5.1.99.6]|ncbi=AT5G49970|AT5G49970,ko00750,ath00750,Vitamin B6 metabolism - Arabidopsis thaliana (thale cress),Metabolism; Metabolism of cofactors and vitamins,PPOX|pyridoxin (pyrodoxamine) 5'-phosphate oxidase  [EC:1.4.3.5 5.1.99.6],AT5G49970,,KO:K23998,
ath,ko00750,SOS4|pfkB-like carbohydrate kinase family protein|ncbi=AT5G37850|AT5G37850,ko00750,ath00750,Vitamin B6 metabolism - Arabidopsis thaliana (thale cress),Metabolism; Metabolism of cofactors and vitamins,SOS4|pfkB-like carbohydrate kinase family protein,AT5G37850,,KO:K00868,EC:2.7.1.35
ath,ko00750,PS2|inorganic pyrophosphatase 1|ncbi=AT1G73010|AT1G73010,ko00750,ath00750,Vitamin B6 metabolism - Arabidopsis thaliana (thale cress),Metabolism; Metabolism of cofactors and vitamins,PS2|inorganic pyrophosphatase 1,AT1G73010,,KO:K13248,EC:3.1.3.74
ath,ko00750,PEPC1|Pyridoxal phosphate phosphatase-related protein|ncbi=AT1G17710|AT1G17710,ko00750,ath00750,Vitamin B6 metabolism - Arabidopsis thaliana (thale cress),Metabolism; Metabolism of cofactors and vitamins,PEPC1|Pyridoxal phosphate phosphatase-related protein,AT1G17710,,KO:K13248,EC:3.1.3.74
ath,ko00750,Pyridoxal phosphate phosphatase-related protein|ncbi=AT4G29530|AT4G29530,ko00750,ath00750,Vitamin B6 metabolism - Arabidopsis thaliana (thale cress),Metabolism; Metabolism of cofactors and vitamins,Pyridoxal phosphate phosphatase-related protein,AT4G29530,,KO:K13248,EC:3.1.3.74
ath,ko00750,PLR1|NAD(P)-linked oxidoreductase superfamily protein|ncbi=AT5G53580|AT5G53580,ko00750,ath00750,Vitamin B6 metabolism - Arabidopsis thaliana (thale cress),Metabolism; Metabolism of cofactors and vitamins,PLR1|NAD(P)-linked oxidoreductase superfamily protein,AT5G53580,,KO:K05275,EC:1.1.1.65
ath,ko00750,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein|ncbi=AT2G17630|AT2G17630,ko00750,ath00750,Vitamin B6 metabolism - Arabidopsis thaliana (thale cress),Metabolism; Metabolism of cofactors and vitamins,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein,AT2G17630,,KO:K00831,EC:2.6.1.52
ath,ko00750,PSAT|phosphoserine aminotransferase|ncbi=AT4G35630|AT4G35630,ko00750,ath00750,Vitamin B6 metabolism - Arabidopsis thaliana (thale cress),Metabolism; Metabolism of cofactors and vitamins,PSAT|phosphoserine aminotransferase,AT4G35630,,KO:K00831,EC:2.6.1.52
ath,ko00750,Pyridoxal-5'-phosphate-dependent enzyme family protein|ncbi=AT1G72810|AT1G72810,ko00750,ath00750,Vitamin B6 metabolism - Arabidopsis thaliana (thale cress),Metabolism; Metabolism of cofactors and vitamins,Pyridoxal-5'-phosphate-dependent enzyme family protein,AT1G72810,,KO:K01733,EC:4.2.3.1
ath,ko00750,MTO2|Pyridoxal-5'-phosphate-dependent enzyme family protein|ncbi=AT4G29840|AT4G29840,ko00750,ath00750,Vitamin B6 metabolism - Arabidopsis thaliana (thale cress),Metabolism; Metabolism of cofactors and vitamins,MTO2|Pyridoxal-5'-phosphate-dependent enzyme family protein,AT4G29840,,KO:K01733,EC:4.2.3.1
ath,ko00750,PDX1.1|pyridoxine biosynthesis 1.1|ncbi=AT2G38230|AT2G38230,ko00750,ath00750,Vitamin B6 metabolism - Arabidopsis thaliana (thale cress),Metabolism; Metabolism of cofactors and vitamins,PDX1.1|pyridoxine biosynthesis 1.1,AT2G38230,,KO:K06215,EC:4.3.3.6
ath,ko00750,RSR4|Aldolase-type TIM barrel family protein|ncbi=AT5G01410|AT5G01410,ko00750,ath00750,Vitamin B6 metabolism - Arabidopsis thaliana (thale cress),Metabolism; Metabolism of cofactors and vitamins,RSR4|Aldolase-type TIM barrel family protein,AT5G01410,,KO:K06215,EC:4.3.3.6
ath,ko00750,PDX1.2|pyridoxine biosynthesis 1.2|ncbi=AT3G16050|AT3G16050,ko00750,ath00750,Vitamin B6 metabolism - Arabidopsis thaliana (thale cress),Metabolism; Metabolism of cofactors and vitamins,PDX1.2|pyridoxine biosynthesis 1.2,AT3G16050,,KO:K06215,EC:4.3.3.6
ath,ko00750,PDX2|pyridoxine biosynthesis 2|ncbi=AT5G60540|AT5G60540,ko00750,ath00750,Vitamin B6 metabolism - Arabidopsis thaliana (thale cress),Metabolism; Metabolism of cofactors and vitamins,PDX2|pyridoxine biosynthesis 2,AT5G60540,,KO:K08681,EC:4.3.3.6
ath,ko00630,ICL|isocitrate lyase|ncbi=AT3G21720|AT3G21720,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,ICL|isocitrate lyase,AT3G21720,,KO:K01637,EC:4.1.3.1
ath,ko00630,ACS|acetyl-CoA synthetase|ncbi=AT5G36880|AT5G36880,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,ACS|acetyl-CoA synthetase,AT5G36880,,KO:K01895,EC:6.2.1.1
ath,ko00630,AAE7|acyl-activating enzyme 7  [EC:6.2.1.1 6.2.1.2]|ncbi=AT3G16910|AT3G16910,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,AAE7|acyl-activating enzyme 7  [EC:6.2.1.1 6.2.1.2],AT3G16910,,KO:K01913,
ath,ko00630,MLS|malate synthase|ncbi=AT5G03860|AT5G03860,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,MLS|malate synthase,AT5G03860,,KO:K01638,EC:2.3.3.9
ath,ko00630,c-NAD-MDH1|Lactate/malate dehydrogenase family protein|ncbi=AT1G04410|AT1G04410,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,c-NAD-MDH1|Lactate/malate dehydrogenase family protein,AT1G04410,,KO:K00025,EC:1.1.1.37
ath,ko00630,c-NAD-MDH3|Lactate/malate dehydrogenase family protein|ncbi=AT5G56720|AT5G56720,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,c-NAD-MDH3|Lactate/malate dehydrogenase family protein,AT5G56720,,KO:K00025,EC:1.1.1.37
