species,unique_gene_identifiers,other_gene_identifiers,gene_models,descriptions,annotations,sources
zma,abs1|abs1-PI254851,abnormal stomates1|translucent leaf|trans*-PI1254851,,"abnormal stomates|Guard cells development is abnormal, or completely lacking",,MaizeGDB
zma,asc1|Asc1-1::Mu4|Asc1-2::Mu1|GRMZM2G140633|Zm00001d020772|ncbi=100283538,asceapen1|CL2906_1|cyclin|cyclin delta-2|IDP1668|IDP1670|IDP71|leaf cyclinD42,GRMZM2G140633|Zm00001d020772,"abnormal stomates|Guard cells development is abnormal, or completely lacking",,MaizeGDB
zma,ig1|ig1-mum|ig1-O|ig1-Original mutant allele|GRMZM2G118250|Zm00001d042560|uniprot=Q32SG3|ncbi=732739,indeterminate gametophyte1|ZmLBD19,GRMZM2G118250|Zm00001d042560,aborted kernel,,MaizeGDB
zma,lbl2,bladeless2|leafbladeless2,,absence of leaf blade,,MaizeGDB
zma,rgd1|rgd1-54|rgd1-lbl1|GRMZM2G020187|Zm00001d035256|uniprot=A1Y2B7|ncbi=100037819,lbl1|leaf bladeless1|PCO125857(521)|PCO125857b|ragged seedling1|rg|SGS3|SUPPRESSOR OF GENE SILENCING 3 homolog,GRMZM2G020187|Zm00001d035256,absence of leaf blade,,MaizeGDB
zma,thi2|thi2-blk|GRMZM2G074097|Zm00001d044228|uniprot=Q41739|ncbi=542715,blade killer|bladekiller1|blk1|IDP7304|iger2a(thi)|PCO074324|PCO074324(276)|sed2|senescence-diminished2|thi1-2|thiamine biosynthesis2|thi*-U17351|uiu1a(pog)|uiu2|uiu2(pog1a),GRMZM2G074097|Zm00001d044228,absence of leaf blade,,MaizeGDB
zma,asr1|Asr1,absence of seminal roots1,,absence of seminal roots,,MaizeGDB
zma,des*-GG21,defective seedling GG21|des21,,absence of seminal roots,,MaizeGDB
zma,mrl1|mrl1-1|mrl1-IHO,midribless1,,absent midrib,,MaizeGDB
zma,adh1|Adh1-1F430|Adh1-1S1108|Adh1-1S3034::Mu1|Adh1-1S319|Adh1-1S4477::Mu1|Adh1-1S4478|Adh1-1S719|Adh1-1Sw|Adh1-1Sx|Adh1-Cm|Adh1-FCm2|Adh1-FCm20|Adh1-FCm236|Adh1-FCm64b|Adh1-FCm8|Adh1-FCm84|Adh1-FCm86|Adh1-FCm91|Adh1-FCm97|Adh1-FkF3037|Adh1-Fm335::Ds1|GRMZM2G442658|Zm00001d033931|uniprot=P00333|ncbi=542363,Adh|Adh-1|Adh2|alcohol dehydrogenase1|AY111936|bnl(adh1)|CL22280_1|IDP1964|IDP35|magi75238|npi21-adh1|npi21(adh1)|PCO141653|rgpc496a(adh)|umc1726|umc(adh1),GRMZM2G442658|Zm00001d033931,ADH1 low activity,,MaizeGDB
zma,adh1|Adh1-3F1124::Mu3|Adh1-3F1124r17|Adh1-3F1124r53|Adh1-Fm335d778|GRMZM2G442658|Zm00001d033931|uniprot=P00333|ncbi=542363,Adh|Adh-1|Adh2|alcohol dehydrogenase1|AY111936|bnl(adh1)|CL22280_1|IDP1964|IDP35|magi75238|npi21-adh1|npi21(adh1)|PCO141653|rgpc496a(adh)|umc1726|umc(adh1),GRMZM2G442658|Zm00001d033931,"ADH1 low activity, organ specific|Different tissues/organs listed affected distinctly, depending on the allele.",,MaizeGDB
zma,adh1|Adh1-3F1124r53|GRMZM2G442658|Zm00001d033931|uniprot=P00333|ncbi=542363,Adh|Adh-1|Adh2|alcohol dehydrogenase1|AY111936|bnl(adh1)|CL22280_1|IDP1964|IDP35|magi75238|npi21-adh1|npi21(adh1)|PCO141653|rgpc496a(adh)|umc1726|umc(adh1),GRMZM2G442658|Zm00001d033931,"ADH1 null activity, organ specific",,MaizeGDB
zma,adh2|Adh2-1N|Adh2-2N|Adh2-3N|GRMZM2G098346|Zm00001d049059|uniprot=P04707|ncbi=542364,alcohol dehydrogenase2|nc004|npi228-adh2|phi021|rgpc496b(adh)|umc200a|umc200a(adh2),GRMZM2G098346|Zm00001d049059,ADH2 altered ethylene effect,,MaizeGDB
zma,adh2|Adh2-1N|Adh2-2N|Adh2-3N|GRMZM2G098346|Zm00001d049059|uniprot=P04707|ncbi=Zm.2859,alcohol dehydrogenase2|nc004|npi228-adh2|phi021|rgpc496b(adh)|umc200a|umc200a(adh2),GRMZM2G098346|Zm00001d049059,ADH2 altered ethylene effect,,MaizeGDB
zma,ada1,adherent anthers1,,adherent anthers,,MaizeGDB
zma,abcg11|abcg11-AB1::Mu|GRMZM2G177812|Zm00001d002871|ncbi=100281487,ATP-binding cassette transporterG11|gnp_QCF18c07a|gnp_QCF5a04|gpm627a|gpm636|PCO068684,GRMZM2G177812|Zm00001d002871,"adherent leaf|seedling leaves, tassels or top leaves are stuck together",,MaizeGDB
zma,ad1|ad1-224|ad1-2F11a|ad1-2F11b|ad1-jt|ad1-mum1,adherent1,,"adherent leaf|seedling leaves, tassels or top leaves are stuck together",,MaizeGDB
zma,ad2|ad2-N2356A,ad*-2356A|adherent2,,"adherent leaf|seedling leaves, tassels or top leaves are stuck together",,MaizeGDB
zma,ad*-N377B,ad*-377B|adherentN377B,,"adherent leaf|seedling leaves, tassels or top leaves are stuck together",,MaizeGDB
zma,ad*-N605B,ad*-605B|adherentN605B,,"adherent leaf|seedling leaves, tassels or top leaves are stuck together",,MaizeGDB
zma,ad*-N613B,ad*-613B|adherentN613B,,"adherent leaf|seedling leaves, tassels or top leaves are stuck together",,MaizeGDB
zma,ad*-N664,ad*-664|adherentN664,,"adherent leaf|seedling leaves, tassels or top leaves are stuck together",,MaizeGDB
zma,cr4|cr4-N411|cr4-N590C|cr4-N647|GRMZM2G051637|Zm00001d023425|uniprot=O24585|ncbi=542346,adherentN590|adherentN647|ad*-N411|ad*-N590C|ad*-N647|AY110360|CL2011_1|crinkly4|crinkly leaf|dap*-6143|PZA02095|rs128284103|ss196417309,GRMZM2G051637|Zm00001d023425,"adherent leaf|seedling leaves, tassels or top leaves are stuck together",,MaizeGDB
zma,sdw1|Sdw1-N1592,Sd2|Sdw*-1592|Sdw*-N1592|semi-dwarf plant1,,"adherent leaf|seedling leaves, tassels or top leaves are stuck together",,MaizeGDB
zma,trn1|Trn1-N1597,torn1|Trn*-1597,,"adherent leaf|seedling leaves, tassels or top leaves are stuck together",,MaizeGDB
zma,vp10|GRMZM2G067176|Zm00001d026515|ncbi=100382050,CL43049_1|CL43049_1(761)|viviparous10|vp13|vp*-2048|vp*-84-5279-29|vp*-85-3040-29|vp*-85-3339-25|vp*-86GN5,GRMZM2G067176|Zm00001d026515,"adherent leaf|seedling leaves, tassels or top leaves are stuck together",,MaizeGDB
zma,adr1|adr1-R6-67,alcohol dehydrogenase regulator1,,ADH high level,,MaizeGDB
zma,adh1|Adh1-0|Adh1-1097a|Adh1-1F119|Adh1-1F207|Adh1-1F217|Adh1-1F321|Adh1-1F334|Adh1-1F460|Adh1-1F6|Adh1-1F63|Adh1-1F748|Adh1-1S1015|Adh1-1S296|Adh1-1S3020|Adh1-1S3034a::Mu1|Adh1-1S5446::Bs1|Adh1-1S5657|Adh1-1S664|Adh1-1S667|Adh1-1Ssv2|Adh1-2F11::Ds2|Adh1-A3G|Adh1-FCm8|Adh1-FCm84|Adh1-FCm86|Adh1-FCm91|Adh1-FkF(gamma)25|Adh1-Fm335DV|Adh1-IL14H|GRMZM2G442658|Zm00001d033931|uniprot=P00333|ncbi=542363,Adh|Adh-1|Adh2|alcohol dehydrogenase1|AY111936|bnl(adh1)|CL22280_1|IDP1964|IDP35|magi75238|npi21-adh1|npi21(adh1)|PCO141653|rgpc496a(adh)|umc1726|umc(adh1),GRMZM2G442658|Zm00001d033931,ADH null activity|No enzyme activity of protein encoded by gene; protein product may be at normal levels,,MaizeGDB
zma,adh2|Adh2-143|Adh2-33|Adh2-90|GRMZM2G098346|Zm00001d049059|uniprot=P04707|ncbi=542364,alcohol dehydrogenase2|nc004|npi228-adh2|phi021|rgpc496b(adh)|umc200a|umc200a(adh2),GRMZM2G098346|Zm00001d049059,ADH null activity|No enzyme activity of protein encoded by gene; protein product may be at normal levels,,MaizeGDB
zma,adh2|Adh2-143|Adh2-33|Adh2-90|GRMZM2G098346|Zm00001d049059|uniprot=P04707|ncbi=Zm.2859,alcohol dehydrogenase2|nc004|npi228-adh2|phi021|rgpc496b(adh)|umc200a|umc200a(adh2),GRMZM2G098346|Zm00001d049059,ADH null activity|No enzyme activity of protein encoded by gene; protein product may be at normal levels,,MaizeGDB
zma,adh1|Adh1-0|Adh1-1097a|Adh1-1F119|Adh1-1F207|Adh1-1F217|Adh1-1F321|Adh1-1F334|Adh1-1F460|Adh1-1F6|Adh1-1F63|Adh1-1F748|Adh1-1S1015|Adh1-1S296|Adh1-1S3020|Adh1-1S3034a::Mu1|Adh1-1S5446::Bs1|Adh1-1S5657|Adh1-1S664|Adh1-1S667|Adh1-1Ssv2|Adh1-2F11::Ds2|Adh1-A3G|Adh1-FCm8|Adh1-FCm84|Adh1-FCm86|Adh1-FCm91|Adh1-FkF(gamma)25|Adh1-Fm335DV|Adh1-IL14H|GRMZM2G442658|Zm00001d033931|uniprot=P00333|ncbi=542363,Adh|Adh-1|Adh2|alcohol dehydrogenase1|AY111936|bnl(adh1)|CL22280_1|IDP1964|IDP35|magi75238|npi21-adh1|npi21(adh1)|PCO141653|rgpc496a(adh)|umc1726|umc(adh1),GRMZM2G442658|Zm00001d033931,"ADH null activity|Typically, ADH1 accounts for the vast majority of ADH activity; ADH2 is typically a very minor componant.",,MaizeGDB
zma,adh2|Adh2-143|Adh2-33|Adh2-90|GRMZM2G098346|Zm00001d049059|uniprot=P04707|ncbi=542364,alcohol dehydrogenase2|nc004|npi228-adh2|phi021|rgpc496b(adh)|umc200a|umc200a(adh2),GRMZM2G098346|Zm00001d049059,"ADH null activity|Typically, ADH1 accounts for the vast majority of ADH activity; ADH2 is typically a very minor componant.",,MaizeGDB
zma,adh2|Adh2-143|Adh2-33|Adh2-90|GRMZM2G098346|Zm00001d049059|uniprot=P04707|ncbi=Zm.2859,alcohol dehydrogenase2|nc004|npi228-adh2|phi021|rgpc496b(adh)|umc200a|umc200a(adh2),GRMZM2G098346|Zm00001d049059,"ADH null activity|Typically, ADH1 accounts for the vast majority of ADH activity; ADH2 is typically a very minor componant.",,MaizeGDB
zma,als1|Als1-QJ22|GRMZM2G143357|Zm00001d050567|uniprot=Q41768|ncbi=100274341,acetolactate synthase1|AHAS109|Als*-109|bnl#(als)|dup|dup(als1)|MALSb|PZA03231|rs129762878|rs55622883|ss196415776,GRMZM2G143357|Zm00001d050567,AHAS activity imidazolinone tolerant|isolated enzyme (ALS) activity not inhibited by imidazolone.,,MaizeGDB
zma,als1|Als1-QJ22|GRMZM2G143357|Zm00001d050567|uniprot=Q41768|ncbi=100285396,acetolactate synthase1|AHAS109|Als*-109|bnl#(als)|dup|dup(als1)|MALSb|PZA03231|rs129762878|rs55622883|ss196415776,GRMZM2G143357|Zm00001d050567,AHAS activity imidazolinone tolerant|isolated enzyme (ALS) activity not inhibited by imidazolone.,,MaizeGDB
zma,als1|Als1-QJ22|GRMZM2G143357|Zm00001d050567|uniprot=Q41769|ncbi=100274341,acetolactate synthase1|AHAS109|Als*-109|bnl#(als)|dup|dup(als1)|MALSb|PZA03231|rs129762878|rs55622883|ss196415776,GRMZM2G143357|Zm00001d050567,AHAS activity imidazolinone tolerant|isolated enzyme (ALS) activity not inhibited by imidazolone.,,MaizeGDB
zma,als1|Als1-QJ22|GRMZM2G143357|Zm00001d050567|uniprot=Q41769|ncbi=100285396,acetolactate synthase1|AHAS109|Als*-109|bnl#(als)|dup|dup(als1)|MALSb|PZA03231|rs129762878|rs55622883|ss196415776,GRMZM2G143357|Zm00001d050567,AHAS activity imidazolinone tolerant|isolated enzyme (ALS) activity not inhibited by imidazolone.,,MaizeGDB
zma,als2|Als2-XA17|GRMZM2G143008|Zm00001d016572|uniprot=Q41769|ncbi=100274341,acetolactate synthase2|als1|Als*-108|bnl#(als)|dup|dup(als2)|MALSa|XA-17,GRMZM2G143008|Zm00001d016572,AHAS activity imidazolinone tolerant|isolated enzyme (ALS) activity not inhibited by imidazolone.,,MaizeGDB
zma,als2|Als2-XA17|GRMZM2G143008|Zm00001d016572|uniprot=Q41769|ncbi=100285396,acetolactate synthase2|als1|Als*-108|bnl#(als)|dup|dup(als2)|MALSa|XA-17,GRMZM2G143008|Zm00001d016572,AHAS activity imidazolinone tolerant|isolated enzyme (ALS) activity not inhibited by imidazolone.,,MaizeGDB
zma,al1|al1-1998-2|al1-84-5020-32|al1-85-3377-2|al1-Brawn|al1-lty3|al1-y3|ncbi=101027139,albescent plant1|gh|ghost|it|lty3|y3,,albescent|various parts of seedling leaf do not develop chlorophyll; also pale yellow endosperm,,MaizeGDB
zma,nec*-N562,al*-N562|nec*-562|necroticN562,,albescent|various parts of seedling leaf do not develop chlorophyll; also pale yellow endosperm,,MaizeGDB
zma,ws3|ws3-N453A,v26|v*-7752|v*-8945|v*-8949|v*-8991|v*-N453A|v*-N605A|white sheath3,,albescent|various parts of seedling leaf do not develop chlorophyll; also pale yellow endosperm,,MaizeGDB
zma,ij1|ij1-Mum1::Mu1|ij1-ref::Ds|GRMZM2G004583|Zm00001d020971|ncbi=542470,iojap striping1|str2-7C44|umc221(ij),GRMZM2G004583|Zm00001d020971,"albino leaf striping|Leaf is mostly white, with short, thin, green, longitudinal stripes (in the direction of the lateral veins), as in ij1-ref::Ds in the inbred Oh51A.",,MaizeGDB
zma,caf1|caf1-1::Mu|GRMZM2G089222|Zm00001d019573|uniprot=Q84N49|ncbi=542118,chloroplast splicing factor|crs2 associated factor1,GRMZM2G089222|Zm00001d019573,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,caf1|caf1-1::Mu|GRMZM2G173923|Zm00001d019573|uniprot=Q84N49|ncbi=542118,chloroplast splicing factor|crs2 associated factor1,GRMZM2G173923|Zm00001d019573,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,caf2|caf2-1::Mu|AC199526.5_FG003|Zm00001d040696|uniprot=Q84N48|ncbi=542682,chloroplast associated splicing factor|crs2 associated factor2,AC199526.5_FG003|Zm00001d040696,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,cl1|cl1-1998-4|cl1-7716|cl1-85-3007-40|cl1-B73,chlorophyll1,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,cp2|cp2-N211C,collapsed2|dek7|dek7-N912|o12|sh*-N1105B|sh*-N1324A|su*-211C|w*-1875A|w*-N1875A,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,cptk1|cptk1-1|GRMZM2G048821|Zm00001d029632|ncbi=100144301,chloroplast thymidine kinase|tk1,GRMZM2G048821|Zm00001d029632,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,crs2|crs2-1::Mu1|GRMZM2G132021|Zm00001d008559|uniprot=Q9M5P4|ncbi=541812,chloroplast RNA splicing2|pza01951|siAF225708,GRMZM2G132021|Zm00001d008559,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,emb14|emb14-1|GRMZM2G384293|Zm00001d054079|ncbi=100381773,,GRMZM2G384293|Zm00001d054079,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,emb17|emb17-1|GRMZM2G119691|Zm00001d018366|ncbi=100193325,emb12|emb*-12BCT,GRMZM2G119691|Zm00001d018366,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,emb2|emb2-8522|GRMZM5G884466|Zm00001d034962|ncbi=101027256,emb8522|emb*-8522|embryo specific2|PPR8522|ZmPPR084,GRMZM5G884466|Zm00001d034962,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,ij1|GRMZM2G004583|Zm00001d020971|ncbi=542470,iojap striping1|str2-7C44|umc221(ij),GRMZM2G004583|Zm00001d020971,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,l*-N612B,l*-612B|luteusN612B,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,lw1|lw1-3108|lw1-6474|lw1-Blandy|lw1-Tulpule|GRMZM2G027059|Zm00001d033896|ncbi=100383164,4-hydroxy-3-methylbut-2-enyl diphosphate reductase1|bl*-N43|blotchedN43|blt1|hdr1|hmdr1|hydroxymethylbutenyl diphosphate reductase1|ispH|l17|l*-544|lemon white1|luteus17|pco067553|zb*-101|zb7|zb*-N101|zebra crossbands7,GRMZM2G027059|Zm00001d033896,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,lw2|lw2-Chase#1|lw2-Chase#2|lw2-Chase#3|lw2-Chase#5|lw2-Chase#7|lw2-Everett#3|lw2-N1868|lw2-Smith#1|lw2-vp12|GRMZM2G137409|Zm00001d017139|ncbi=542690,hds1 hydroxymethylbutenyl diphosphate synthase1|lemon white2|pco116062|pco116062(435)|SEED CAROTENOID DEFICIENT (SCD)|vp12,GRMZM2G137409|Zm00001d017139,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,lw3,lemon white3,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,lw4,lemon white4,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,lw5|lw5-N176A,lemon white5,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,lw6|lw6-N176B,lemon white6,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,mterf4|mterf4-1|GRMZM2G029933|Zm00001d010340|uniprot=B6TGN4|ncbi=100283286,Atmterf4|BSM|mterf28|RUG2|RUGOSA2|Zm-mTERF4|ZmTERF27,GRMZM2G029933|Zm00001d010340,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,o5|o5-N874B|GRMZM2G142873|Zm00001d020537|ncbi=100274282,MGDG synthase type A|opaque endosperm5,GRMZM2G142873|Zm00001d020537,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,ppr103|ppr103-2|ppr103-3|GRMZM2G170896|Zm00001d007838|ncbi=103648257,EMB175 - Arabidopsis|pentatricopeptide repeat-containing protein At5g03800-like|ZmPPR155,GRMZM2G170896|Zm00001d007838,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,ppr2|ppr2-1::Mu|ppr2-2::Mu|ppr2-4::Mu|GRMZM2G341621|Zm00001d018693|ncbi=100281431,CL15341_1|CL15341_1(529)|IDP1402|pentatricopeptide2|PZA02035|ZmPPR372,GRMZM2G341621|Zm00001d018693,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,ppr4|ppr4-1::Mu9|Zm00001d026654|ncbi=732779,pentatricopeptide4,Zm00001d026654,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,ppr405|ppr405-emb7L|ppr405-emb7L2|GRMZM2G158452|Zm00001d021871|ncbi=100383403,cl64447_-1|cl64447_-1(577)|EMB-7L|embryo-specific-7L,GRMZM2G158452|Zm00001d021871,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,ppr5|ppr5-1::Mu1|GRMZM2G025409|Zm00001d052240|uniprot=A7LN87|ncbi=100126361,pentatricopeptide5|ZmPPR245,GRMZM2G025409|Zm00001d052240,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,prda1|prda1-AB1::Mu|GRMZM2G079452|Zm00001d049152|ncbi=100276194,crp19|pep-related development arrested1 homolog,GRMZM2G079452|Zm00001d049152,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,ps1|ps1-87-2209-30|ps1-lyc1|ps1-N1983B|ps1-vp7|GRMZM5G849107|Zm00001d015651|uniprot=B4FG96|ncbi=Zm.86691,lcyb|lcyb1|lyc1|lycB|lycb1|pink scutellum1|ps*-8205|ps*-85-3288-28|ps*-Mu85-3061-21|vp7,GRMZM5G849107|Zm00001d015651,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,ptac14|ptac14-AB1::Mu|GRMZM5G807767|Zm00001d009723|ncbi=100279779,,GRMZM5G807767|Zm00001d009723,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,rnc1|rnc1-3::Mu3|GRMZM2G035820|Zm00001d043146|uniprot=A6YSL1|ncbi=100125654,idp1680|ribonuclease III domain protein1|RNAase III|si614043c10,GRMZM2G035820|Zm00001d043146,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,v18,virescent18,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,v35|v35-N55,v*-55|virescent35|v*-N55,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,v8,virescent8,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,v*-N29,v*-29|virescentN29,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,vp2|vp2-green mosaic|vp2-N1136B,pm2|viviparous2|y2,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,vp5|vp5-8705|vp5-Everett#4|vp5-K40|vp5-McWhirter#1|vp5-Mumm-1|vp5-Mumm#2|vp5-N81|vp5-Wisconsin#1|GRMZM2G410515|Zm00001d027936|uniprot=P49086|ncbi=542329,CL1803_1|MAGI_109001|MAGI_22938|pds1|pds*-L39266|phytoene desaturase|phytoene desaturase L39266|PZA02069|PZB00648|PZB00718|umc1070|viviparous5|vp5-83-3101-36|vp5-8419|y-vp*-83-3101-36|y-vp*-8419|y-vp*-85-3101-36,GRMZM2G410515|Zm00001d027936,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,vp5|vp5-8705|vp5-Everett#4|vp5-K40|vp5-McWhirter#1|vp5-Mumm-1|vp5-Mumm#2|vp5-N81|vp5-Wisconsin#1|GRMZM2G410515|Zm00001d027936|uniprot=P49086|ncbi=Zm.695,CL1803_1|MAGI_109001|MAGI_22938|pds1|pds*-L39266|phytoene desaturase|phytoene desaturase L39266|PZA02069|PZB00648|PZB00718|umc1070|viviparous5|vp5-83-3101-36|vp5-8419|y-vp*-83-3101-36|y-vp*-8419|y-vp*-85-3101-36,GRMZM2G410515|Zm00001d027936,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,vp*-5111,viviparous*-5111,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,vp9|vp9-3058|vp9-4889|vp9-85-3005-22|vp9-85-3069-6|vp9-87-2286-1|vp9-88-89-3613-25|vp9-89-1313-3|vp9-89-90-1525-23|vp9-Bot100|vp9-Smith#3|vp9-UFMu-03973|vp9-Wisconsin#2|vp9-wl2|vp9-y7|GRMZM2G454952|Zm00001d019124|uniprot=Q9ZTP4|ncbi=542604,CL78_1|cl78_1(541)|viviparous9|y7|z1|zds1|zeta carotene desaturase1,GRMZM2G454952|Zm00001d019124,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,vp*-N1136B,viviparousN1136B|vp*-1136B,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,w*-017-14|w*-017-14A|w*-017-14B|w*-034-16|w*-4670|w*-8635|wh*-053-4,w*-017-14-A|w*-017-14-B|w*-053-4|w*-8925|w*-8963|white*-017-14,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,w*-018-3,white candidate 018-3,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,w*-021-7,white*-021-7,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,w*-062-3,white*-062-3,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,w1|w1-7366,l3|w*-7366|white1|white seedling1,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,w11,w*-8951|white11|white seedling11,,albino seedling|Seedling leaves are white.,,MaizeGDB
zma,w14|w14-025-12|w14-1-7(4302-31)|w14-6853|w14-8050|w14-8613|w14-8657|w14-N217A|w14-N335,cb*-N217B|w*-025-12|w*-035-2|w*-1-74302|w*-1-7(4302-31)|w*-5946|w*-6853|w*-8050|w*-8657|white14|white seedling14|wl*-N217A|w*-N335,,albino seedling|Seedling leaves are white.,,MaizeGDB
